unitid,institution_name,sector,candidate_url,catalog_year_start,catalog_year_end,candidate_generation_method,candidate_source_type,legacy_input_provenance,counts_as_legacy_coverage,candidate_source_file,source_query_or_root,candidate_materialization_priority
100858,Auburn University,public,https://bulletin.auburn.edu/archivedbulletins/2012-2013/undergraduate/,2012,2013,historical_url_evidence_materialization,legacy_input_url,prior_programmatic,True,_quarantine/policy_scraper_artifacts_20260702/artifacts/PILOTS/url_discovery/audit_trails/url_discovery_pilot_batch_002/source_review_log.csv,historical_discovery,1
100858,Auburn University,public,https://bulletin.auburn.edu/archivedbulletins/2013-2014/undergraduate/,2013,2014,historical_url_evidence_materialization,legacy_input_url,prior_programmatic,True,_quarantine/policy_scraper_artifacts_20260702/artifacts/PILOTS/url_discovery/audit_trails/url_discovery_pilot_batch_002/source_review_log.csv,historical_discovery,1
100858,Auburn University,public,https://bulletin.auburn.edu/archivedbulletins/2014-2015/undergraduate/,2014,2015,historical_url_evidence_materialization,legacy_input_url,prior_programmatic,True,_quarantine/policy_scraper_artifacts_20260702/artifacts/PILOTS/url_discovery/audit_trails/url_discovery_pilot_batch_002/source_review_log.csv,historical_discovery,1
100858,Auburn University,public,https://bulletin.auburn.edu/archivedbulletins/2015-2016/undergraduate/,2015,2016,historical_url_evidence_materialization,legacy_input_url,prior_programmatic,True,_quarantine/policy_scraper_artifacts_20260702/artifacts/PILOTS/url_discovery/audit_trails/url_discovery_pilot_batch_002/source_review_log.csv,historical_discovery,1
100858,Auburn University,public,https://bulletin.auburn.edu/archivedbulletins/2016-2017/undergraduate/,2016,2017,historical_url_evidence_materialization,legacy_input_url,prior_programmatic,True,_quarantine/policy_scraper_artifacts_20260702/artifacts/PILOTS/url_discovery/audit_trails/url_discovery_pilot_batch_002/source_review_log.csv,historical_discovery,1
102669,Alaska Pacific University,private,http://catalog.alaskapacific.edu/content.php?catoid=2&navoid=15,2010,2010,historical_url_evidence_materialization,legacy_input_url,prior_programmatic,True,_quarantine/policy_scraper_artifacts_20260702/artifacts/PIPELINE_OUTPUTS/01_url_discovery/production_chunks/production_chunk_scale_drill_002/OUTPUT_source_ledger_delta.csv,historical_attempt,1
102669,Alaska Pacific University,private,http://catalog.alaskapacific.edu/content.php?catoid=3&navoid=49,2011,2011,historical_url_evidence_materialization,legacy_input_url,prior_programmatic,True,_quarantine/policy_scraper_artifacts_20260702/artifacts/PIPELINE_OUTPUTS/01_url_discovery/production_chunks/production_chunk_scale_drill_002/OUTPUT_source_ledger_delta.csv,historical_attempt,1
102669,Alaska Pacific University,private,http://catalog.alaskapacific.edu/content.php?catoid=4&navoid=74,2012,2012,historical_url_evidence_materialization,legacy_input_url,prior_programmatic,True,_quarantine/policy_scraper_artifacts_20260702/artifacts/PIPELINE_OUTPUTS/01_url_discovery/production_chunks/production_chunk_scale_drill_002/OUTPUT_source_ledger_delta.csv,historical_attempt,1
102669,Alaska Pacific University,private,http://catalog.alaskapacific.edu/content.php?catoid=6&navoid=121,2013,2013,historical_url_evidence_materialization,legacy_input_url,prior_programmatic,True,_quarantine/policy_scraper_artifacts_20260702/artifacts/PIPELINE_OUTPUTS/01_url_discovery/production_chunks/production_chunk_scale_drill_002/OUTPUT_source_ledger_delta.csv,historical_attempt,1
102669,Alaska Pacific University,private,http://catalog.alaskapacific.edu/content.php?catoid=8&navoid=190,2014,2014,historical_url_evidence_materialization,legacy_input_url,prior_programmatic,True,_quarantine/policy_scraper_artifacts_20260702/artifacts/PIPELINE_OUTPUTS/01_url_discovery/production_chunks/production_chunk_scale_drill_002/OUTPUT_source_ledger_delta.csv,historical_attempt,1
